id,productDisplayName,caption,colors,dress_type,sleeve_length,pattern,fabric,neckline,closure_type,fit,special_features,condition,occasion,gender
15970,Turtle Check Men Navy Blue Shirt,"Plaid button-down shirt with short sleeves, long pocket on right side, white collar trim, and chest pocket. Sleeves rolled up to showcase pocket. Button-down collar. Light blue and white checked fabric. Shirt has a loose, casual fit. Above, ""Say, how much does that plaid button-down shirt weigh?""","light, blue, white, plaid",button-down shirt,short,plaid,cotton,collar,button,regular,"chest pocket, pocket, trim",good,casual,unisex
39386,Peter England Men Party Blue Jeans,"Navy blue denim button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit.","navy, blue, white",button-down shirt,long,solid,denim,collar,button,relaxed,"chest pocket, trim",good,general,unisex
59263,Titan Women Silver Watch,"White watch with black face and a silver band. Wristwatch by OBRAHU Titan. The watch is a silver band, metal, and silver face.","white, black, silver",garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
21379,Manchester United Men Solid Black Track Pants,"A black track suit, which features a red United badge on the leg and a navy blue shirt underneath.","navy, blue, black, red",shirt,long,solid,cotton,collar,button,regular,basic,good,general,unisex
53759,Puma Men Grey T-shirt,Grey shirt with yellow puma logo on the front left pocket.,"grey, yellow",shirt,long,solid,cotton,collar,button,regular,"pocket, logo",good,general,unisex
1855,Inkfruit Mens Chain Reaction T-shirt,"Black cotton shirt with white print, gray and red colors, blue jeans, and a white collar trim","black, white, gray, red, blue",jeans,standard,print,cotton,collar,standard,regular,trim,good,general,unisex
30805,Fabindia Men Striped Green Shirt,A striped green shirt on a man.,"green, striped",shirt,long,striped,cotton,collar,button,regular,basic,good,general,unisex
26960,Jealous 21 Women Purple Shirt,"Maroon long sleeve button-down shirt, with a fitted collar, a chest pocket, and rolled up sleeves for a casual look.",maroon,button-down shirt,long,solid,cotton,collar,button,regular,chest pocket,good,casual,unisex
29114,Puma Men Pack of 3 Socks,```,solid color,garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
30039,Skagen Men Black Watch,"A watch with a blue strap., white numbers, black dial and black case.","blue, white, black",garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
9204,Puma Men Future Cat Remix SF Black Casual Shoes,Black and white shoe. a size 8.5.,"black, white",garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
48123,Fossil Women Black Huarache Weave Belt,"1. The black strap.
2. The small silver ring.
3. The two silver rings on the strap.
4. The two silver rings on the black leather strap.
5. The two silver rings on the black leather band.
6. The small silver ring.
7. The two silver rings on the black leather strap.
8. The two silver rings on the black leather band.
9. The small silver","black, silver",garment,standard,solid,leather,standard,standard,regular,basic,good,general,unisex
18653,Fila Men Cush Flex Black Slippers,"Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit.- the shoes are black, the color is navy blue and the brand is Fila.","navy, blue, white, black",button-down shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
47957,Murcia Women Blue Handbag,"Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit. Now describe this clothing item in similar detail: Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit. Now describe this clothing item in similar detail: Navy blue cotton button-down shirt with long sleeves, white","navy, blue, white",button-down shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
46885,Ben 10 Boys Navy Blue Slippers,A blue crocheted shoe with a comic book image on it.,blue,garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
12369,Reid & Taylor Men Check Purple Shirts,"Purple striped cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit.","purple, white, striped",button-down shirt,long,striped,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
29928,Police Men Black Dial Watch PL12889JVSB,"Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit on white background. (Photo by Getty Images)","navy, blue, white",button-down shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
42419,Gini and Jony Girls Knit White Top,"A white tee with a light blue collar and dark blue buttons, a patterned shirt with blue leaves and white flowers, and a white tank top with a design featuring light blue flowers and green leaves, all with long sleeves.","light, blue, dark, white, green",tank top,long,solid,textile,collar,standard,regular,basic,good,general,unisex
51832,Bwitch Beige Full-Coverage Bra BW335,A beige sports bra with silver metal accents.a beige sports bra with silver metal accents.,"beige, silver",garment,standard,solid,textile,standard,standard,regular,basic,good,sports,unisex
47359,Baggit Women Brown Handbag,"Pink cotton dress with full length skirt, white buttons, and straps on shoulders.","pink, white",dress,standard,solid,cotton,standard,standard,regular,basic,good,formal,unisex
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,",

""a black G-shock watch""",black,garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
12967,ADIDAS Men Spry M Black Sandals,"A yellow and black, mens, Adidas branded, strappy sandal with a yellow buckle. Celebrity endorsed.","yellow, black",garment,standard,solid,textile,standard,standard,regular,basic,good,general,male
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,A black and brown comb with a chain. Tip: The brown chain has a small ring at the end.,"black, brown",garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,A blue jeans jacket with hoodie attached. - Man wearing jeans jacket with hoodie attached.,blue,hoodie,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
9036,Buckaroo Men Flores Black Formal Shoes,"Black leather lace-up shoe with a suede lining, a leather sole, and a stitched pattern on the outside of the upper.",black,garment,standard,solid,leather,standard,standard,regular,basic,good,general,unisex
48311,Pitaraa Women Bronze Beaded Bracelet,"Yellow metal woven bracelet with many holes, shaped in a circular design, on a white background. Earring hanging down the side. Earring hanging down the side. Earring hanging down the side. Earring hanging down the side. Earring hanging down the side. Earring hanging down the side. Earring hanging down the side. Earring hanging down the side. Earring hanging down the side. Earring h","yellow, white",garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
7990,Fila Men's Round Neck Navy Blue T-shirt,"A black tee-shirt with a white logo, a chest pocket, and a collar trim. - this is the color black shirt.","black, white",shirt,long,solid,cotton,collar,button,regular,"chest pocket, trim, logo",good,general,unisex
21977,Murcia Women Casual Brown Handbag,"A brown leather handbag.- Creamy colored leather handbag with black straps and leather accents, a zippered pocket on the front, and an interior lining with a mirror and a zip pocket for small accessories.;

This is an image of a small brown leather purse.","brown, black",garment,standard,solid,leather,standard,zipper,regular,pocket,good,general,unisex
37812,John Players Men Navy Blue Shirt,"Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit.","navy, blue, white",button-down shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,"""Example: Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit. Now describe this clothing item in similar detail:

A light green shirt with white lettering that reads ""Disneys Real Live Crew.""","navy, blue, light, green, white",button-down shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
56825,John Players Men Brown Shirt,A blue plaid button-down shirt with short sleeves and a slim fit.,"blue, plaid",button-down shirt,short,plaid,cotton,collar,button,fitted,basic,good,general,unisex
39988,Gas Men Europa White Shoes,"White tennis shoe with red and grey laces and a checkered pattern in the upper and lower regions of the shoes.and a red trim at the edge of the shoes.


This is a shoe.","white, red, grey, checkered",garment,standard,plaid,textile,standard,standard,regular,trim,good,general,unisex
59051,Carlton London Women Black & Gold Toned Flats,"A pair of black sandals, with a diamond pattern on the front, are displayed in front of a white background.","black, white",garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
20099,Diva Women Embroided Green Kurta,"Green linen spaghetti-strapped dress with a wide, white border, and multi-colored beadwork along the neckline and sleeves, which is part of a summer collection that was inspired by the art of quilting and has been designed to be a relaxed, comfortable, and feminine choice for a variety of occasions. (This is a new dress that is being introduced into the market.)","green, white, multi",dress,standard,solid,linen,standard,standard,regular,basic,new,formal,unisex
58183,Rocky S Women White Handbag,A brown purse.,brown,garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
29742,Kiara Women Teal Handbag,"Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit.","navy, blue, white",button-down shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
51658,Fossil Women Copper Chronograph Watch CH2589,This is a silver watch.g.,silver,garment,standard,solid,textile,standard,standard,regular,basic,good,general,unisex
3954,Jealous 21 Women's Pink T-shirt,"Navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit.
.

The pink and yellow flowered shirt the girl is wearing.","navy, blue, white, pink, yellow",button-down shirt,long,floral,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
18839,Peter England Men Formal Black Belt,"Black leather belt with silver buckle and belt loops, a silver buckle on the belt. Mocha suede belt with silver buckle and belt loops, a silver buckle on the belt. Mocha suede belt with silver buckle and belt loops, a silver buckle on the belt. Mocha suede belt with silver buckle and belt loops, a silver bu","black, silver",garment,standard,solid,leather,standard,standard,regular,belt,good,general,unisex
2886,Catwalk Women Leather Brown Flats,"This image is a brown shoe that has red, blue, and green colors. (color is subjective) The brown shoe is adorned with leather, it is a comfortable and stylish footwear option.","brown, red, blue, green",garment,standard,solid,leather,standard,standard,regular,basic,good,general,unisex
23278,Maxima Ssteele Men Off White Watch,"/navy blue cotton button-down shirt with long sleeves, white collar trim, chest pocket, and relaxed fit.","navy, blue, white",button-down shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,general,unisex
28690,W Women Printed Beige Kurta,"Navy blue cotton shirt with a collar trim, chest pocket, and a relaxed fit. - The womans shirt is navy blue with a white collar trim. - The shirt has a chest pocket and a relaxed fit. - The womans shirt is part of her business outfit.","navy, blue, white",shirt,long,solid,cotton,collar,button,relaxed,"chest pocket, trim",good,formal,unisex
8580,Scullers Men  Grey Waistcoat,"Navy blue cotton vest with gray and brown patterns, buttons and pockets, and relaxed fit./ Black dress pants with belt, white shirt and gray vest.","navy, blue, gray, brown, black, white",dress,standard,solid,cotton,standard,standard,relaxed,belt,good,formal,unisex
